team_id,canonical_name,source_name,source,valid_from,valid_to,source_club_id
team_0034,FC岐阜,岐阜,jleague_data_site,2015-01-01,2019-12-31,gifu
team_0035,FC琉球,琉球,jleague_data_site,2019-01-01,2022-12-31,ryukyu
team_0036,SC相模原,相模原,jleague_data_site,2021-01-01,2021-12-31,sagamihara
team_0037,いわきFC,いわき,jleague_data_site,2023-01-01,2024-12-31,iwaki
team_0038,いわてグルージャ盛岡,岩手,jleague_data_site,2022-01-01,2022-12-31,team_ids=269
team_0039,カマタマーレ讃岐,讃岐,jleague_data_site,2015-01-01,2018-12-31,sanuki
team_0040,ギラヴァンツ北九州,北九州,jleague_data_site,2015-01-01,2021-12-31,kitakyushu
team_0041,ザスパクサツ群馬,群馬,jleague_data_site,2015-01-01,2024-12-31,kusatsu
team_0042,ツエーゲン金沢,金沢,jleague_data_site,2015-01-01,2023-12-31,kanazawa
team_0043,ブラウブリッツ秋田,秋田,jleague_data_site,2021-01-01,2024-12-31,akita
team_0044,レノファ山口FC,山口,jleague_data_site,2016-01-01,2024-12-31,yamaguchi
